ID, block, element ID, linked transaction ID, initial clock value, final clock value, duration, attributes, actions
1504, CA, 123, -1, 0, 0, 0, 30 50 50 , action#0: distance = 50 
1505, CA, 153, -1, 0, 0, 0, 30 50 50 , null
1506, CA, 124, -1, 0, 0, 0, 30 50 50 , null
1507, CA, 125, -1, 0, 0, 0, 0 50 50 , action#0: speed = 0 
1508, CA, 119, -1, 0, 0, 0, 0 50 50 , null
1509, CA, 154, -1, 0, 0, 0, 0 50 50 , null
1510, CA, 120, -1, 0, 0, 0, 0 45 50 , action#0: distance = 45 
1511, CA, 155, -1, 0, 0, 0, 0 45 50 , null
1512, CA, 121, -1, 0, 0, 0, 0 45 50 , null
1513, CA, 139, -1, 0, 0, 0, 0 45 50 , action#0: speed = 0 
1514, CA, 119, -1, 0, 0, 0, 0 45 50 , null
1515, CA, 154, -1, 0, 0, 0, 0 45 50 , null
1516, CA, 120, -1, 0, 0, 0, 0 53 50 , action#0: distance = 53 
1517, CA, 155, -1, 0, 0, 0, 0 53 50 , null
1518, CA, 121, -1, 0, 0, 0, 0 53 50 , null
1519, CA, 146, -1, 0, 0, 0, 30 53 50 , action#0: speed = 30 
1520, CA, 122, -1, 0, 0, 0, 30 53 50 , null
1521, CA, 152, -1, 0, 0, 0, 30 53 50 , null
1522, CA, 123, -1, 0, 0, 0, 30 47 50 , action#0: distance = 47 
1523, CA, 153, -1, 0, 0, 0, 30 47 50 , null
1524, CA, 124, -1, 0, 0, 0, 30 47 50 , null
1525, CA, 125, -1, 0, 0, 0, 0 47 50 , action#0: speed = 0 
1526, CA, 119, -1, 0, 0, 0, 0 47 50 , null
1527, CA, 154, -1, 0, 0, 0, 0 47 50 , null
1528, CA, 120, -1, 0, 0, 0, 0 52 50 , action#0: distance = 52 
1529, CA, 155, -1, 0, 0, 0, 0 52 50 , null
1530, CA, 121, -1, 0, 0, 0, 0 52 50 , null
1531, CA, 146, -1, 0, 0, 0, 30 52 50 , action#0: speed = 30 
1532, CA, 122, -1, 0, 0, 0, 30 52 50 , null
1533, CA, 152, -1, 0, 0, 0, 30 52 50 , null
1534, CA, 123, -1, 0, 0, 0, 30 50 50 , action#0: distance = 50 
1535, CA, 153, -1, 0, 0, 0, 30 50 50 , null
1536, CA, 124, -1, 0, 0, 0, 30 50 50 , null
1537, CA, 125, -1, 0, 0, 0, 0 50 50 , action#0: speed = 0 
